		*** ORIGINAL DATA ***		
	ID Numbers		Donations	
	   879	 		 1358.32
	   546	 		 1281.67
	   825	 		 2500.70
	   245	 		 893.60
	   331	 		 2401.97
	   639	 		 1603.41
	   156	 		 475.73
	   928	 		 2957.12
	   100	 		 84.40
	   543	 		 1152.00
	   538	 		 1058.88
	   916	 		 2474.67
	   905	 		 1877.52
	   484	 		 252.33
	   794	 		 2885.46
	   347	 		 814.15
	   897	 		 2625.00
	   135	 		 1463.10

	NUMERICALLY SORTED ID NUMBERS		
		USING SELECTION SORT		

	ID Numbers		Donations	
	   100	 		 84.40
	   135	 		 1463.10
	   156	 		 475.73
	   245	 		 893.60
	   331	 		 2401.97
	   347	 		 814.15
	   484	 		 252.33
	   538	 		 1058.88
	   543	 		 1152.00
	   546	 		 1281.67
	   639	 		 1603.41
	   794	 		 2885.46
	   825	 		 2500.70
	   879	 		 1358.32
	   897	 		 2625.00
	   905	 		 1877.52
	   916	 		 2474.67
	   928	 		 2957.12

	NUMERICALLY SORTED DONATIONS	
		USING BUBBLE SORT		

	ID Numbers		Donations	
	   100	 		 84.40
	   484	 		 252.33
	   156	 		 475.73
	   347	 		 814.15
	   245	 		 893.60
	   538	 		 1058.88
	   543	 		 1152.00
	   546	 		 1281.67
	   879	 		 1358.32
	   135	 		 1463.10
	   639	 		 1603.41
	   905	 		 1877.52
	   331	 		 2401.97
	   916	 		 2474.67
	   825	 		 2500.70
	   897	 		 2625.00
	   794	 		 2885.46
	   928	 		 2957.12

